instrument,symbol,timestamp,open,high,low,close,volume,source,interval,adjustment,tick_paise
DEMO-WIN,DEMO-WIN,2026-09-14T11:15:00+05:30,100.30,100.85,99.85,100.35,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T11:30:00+05:30,100.35,100.90,99.90,100.40,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T11:30:00+05:30,100.35,100.90,99.90,100.40,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T11:30:00+05:30,100.35,100.90,99.90,100.40,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T11:45:00+05:30,100.40,100.95,99.95,100.45,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T11:45:00+05:30,100.40,100.95,99.95,100.45,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T11:45:00+05:30,100.40,100.95,99.95,100.45,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T12:00:00+05:30,100.45,101.00,100.00,100.50,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T12:00:00+05:30,100.45,101.00,100.00,100.50,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T12:00:00+05:30,100.45,101.00,100.00,100.50,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T12:15:00+05:30,100.50,101.05,100.05,100.55,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T12:15:00+05:30,100.50,101.05,100.05,100.55,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T12:15:00+05:30,100.50,101.05,100.05,100.55,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T12:30:00+05:30,100.55,101.10,100.10,100.60,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T12:30:00+05:30,100.55,101.10,100.10,100.60,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T12:30:00+05:30,100.55,101.10,100.10,100.60,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T12:45:00+05:30,100.60,101.15,100.15,100.65,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T12:45:00+05:30,100.60,101.15,100.15,100.65,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T12:45:00+05:30,100.60,101.15,100.15,100.65,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T13:00:00+05:30,100.65,101.20,100.20,100.70,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T13:00:00+05:30,100.65,101.20,100.20,100.70,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T13:00:00+05:30,100.65,101.20,100.20,100.70,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T13:15:00+05:30,100.70,101.25,100.25,100.75,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T13:15:00+05:30,100.70,101.25,100.25,100.75,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T13:15:00+05:30,100.70,101.25,100.25,100.75,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T13:30:00+05:30,100.75,101.30,100.30,100.80,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T13:30:00+05:30,100.75,101.30,100.30,100.80,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T13:30:00+05:30,100.75,101.30,100.30,100.80,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T13:45:00+05:30,100.80,101.35,100.35,100.85,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T13:45:00+05:30,100.80,101.35,100.35,100.85,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T13:45:00+05:30,100.80,101.35,100.35,100.85,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T14:00:00+05:30,100.85,101.40,100.40,100.90,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T14:00:00+05:30,100.85,101.40,100.40,100.90,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T14:00:00+05:30,100.85,101.40,100.40,100.90,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T14:15:00+05:30,100.90,101.45,100.45,100.95,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T14:15:00+05:30,100.90,101.45,100.45,100.95,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T14:15:00+05:30,100.90,101.45,100.45,100.95,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T14:30:00+05:30,100.95,101.50,100.50,101.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T14:30:00+05:30,100.95,101.50,100.50,101.00,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T14:30:00+05:30,100.95,101.50,100.50,101.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T14:45:00+05:30,101.00,101.55,100.55,101.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T14:45:00+05:30,101.00,101.55,100.55,101.05,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T14:45:00+05:30,101.00,101.55,100.55,101.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T15:00:00+05:30,101.05,101.60,100.60,101.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T15:00:00+05:30,101.05,101.60,100.60,101.10,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T15:00:00+05:30,101.05,101.60,100.60,101.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T15:15:00+05:30,101.10,101.65,100.65,101.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T15:15:00+05:30,101.10,101.65,100.65,101.15,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T15:15:00+05:30,101.10,101.65,100.65,101.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T15:30:00+05:30,101.15,101.70,100.70,101.20,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T15:30:00+05:30,101.15,101.70,100.70,101.20,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T15:30:00+05:30,101.15,101.70,100.70,101.20,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T09:30:00+05:30,100.95,101.50,100.50,101.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T09:30:00+05:30,100.95,101.50,100.50,101.00,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T09:30:00+05:30,100.95,101.50,100.50,101.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T09:45:00+05:30,101.00,101.55,100.55,101.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T09:45:00+05:30,101.00,101.55,100.55,101.05,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T09:45:00+05:30,101.00,101.55,100.55,101.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T10:00:00+05:30,102.95,103.50,102.50,103.00,25000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T10:00:00+05:30,102.95,103.50,102.50,103.00,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T10:00:00+05:30,102.95,103.50,102.50,103.00,25000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T10:15:00+05:30,103.00,103.25,102.95,103.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T10:15:00+05:30,103.00,103.25,102.95,103.00,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T10:15:00+05:30,103.00,103.25,102.95,103.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T10:30:00+05:30,100.00,103.10,99.00,99.50,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T10:30:00+05:30,103.05,103.60,102.60,103.10,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T10:30:00+05:30,103.05,108.00,103.00,107.50,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T10:45:00+05:30,103.10,103.65,102.65,103.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T10:45:00+05:30,103.10,103.65,102.65,103.15,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T10:45:00+05:30,103.10,103.65,102.65,103.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T11:00:00+05:30,103.15,103.70,102.70,103.20,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T11:00:00+05:30,103.15,103.70,102.70,103.20,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T11:00:00+05:30,103.15,103.70,102.70,103.20,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T11:15:00+05:30,103.20,103.75,102.75,103.25,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T11:15:00+05:30,103.20,103.75,102.75,103.25,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T11:15:00+05:30,103.20,103.75,102.75,103.25,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T11:30:00+05:30,103.25,103.80,102.80,103.30,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T11:30:00+05:30,103.25,103.80,102.80,103.30,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T11:30:00+05:30,103.25,103.80,102.80,103.30,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T11:45:00+05:30,103.30,103.85,102.85,103.35,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T11:45:00+05:30,103.30,103.85,102.85,103.35,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T11:45:00+05:30,103.30,103.85,102.85,103.35,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T12:00:00+05:30,103.35,103.90,102.90,103.40,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T12:00:00+05:30,103.35,103.90,102.90,103.40,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T12:00:00+05:30,103.35,103.90,102.90,103.40,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T12:15:00+05:30,103.40,103.95,102.95,103.45,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T12:15:00+05:30,103.40,103.95,102.95,103.45,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T12:15:00+05:30,103.40,103.95,102.95,103.45,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T12:30:00+05:30,103.45,104.00,103.00,103.50,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T12:30:00+05:30,103.45,104.00,103.00,103.50,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T12:30:00+05:30,103.45,104.00,103.00,103.50,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T12:45:00+05:30,103.50,104.05,103.05,103.55,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T12:45:00+05:30,103.50,104.05,103.05,103.55,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T12:45:00+05:30,103.50,104.05,103.05,103.55,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T13:00:00+05:30,103.55,104.10,103.10,103.60,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T13:00:00+05:30,103.55,104.10,103.10,103.60,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T13:00:00+05:30,103.55,104.10,103.10,103.60,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T13:15:00+05:30,103.60,104.15,103.15,103.65,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T13:15:00+05:30,103.60,104.15,103.15,103.65,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T13:15:00+05:30,103.60,104.15,103.15,103.65,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T13:30:00+05:30,103.65,104.20,103.20,103.70,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T13:30:00+05:30,103.65,104.20,103.20,103.70,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T13:30:00+05:30,103.65,104.20,103.20,103.70,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T13:45:00+05:30,103.70,104.25,103.25,103.75,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T13:45:00+05:30,103.70,104.25,103.25,103.75,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T13:45:00+05:30,103.70,104.25,103.25,103.75,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T14:00:00+05:30,103.75,104.30,103.30,103.80,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T14:00:00+05:30,103.75,104.30,103.30,103.80,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T14:00:00+05:30,103.75,104.30,103.30,103.80,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T14:15:00+05:30,103.80,104.35,103.35,103.85,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T14:15:00+05:30,103.80,104.35,103.35,103.85,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T14:15:00+05:30,103.80,104.35,103.35,103.85,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T14:30:00+05:30,103.85,104.40,103.40,103.90,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T14:30:00+05:30,103.85,104.40,103.40,103.90,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T14:30:00+05:30,103.85,104.40,103.40,103.90,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T14:45:00+05:30,103.90,104.45,103.45,103.95,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T14:45:00+05:30,103.90,104.45,103.45,103.95,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T14:45:00+05:30,103.90,104.45,103.45,103.95,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T15:00:00+05:30,103.95,104.50,103.50,104.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T15:00:00+05:30,103.95,104.50,103.50,104.00,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T15:00:00+05:30,103.95,104.50,103.50,104.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T15:15:00+05:30,104.00,104.55,103.55,104.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T15:15:00+05:30,104.00,104.55,103.55,104.05,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T15:15:00+05:30,104.00,104.55,103.55,104.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-15T15:30:00+05:30,104.05,104.60,103.60,104.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-15T15:30:00+05:30,104.05,104.60,103.60,104.10,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-15T15:30:00+05:30,104.05,104.60,103.60,104.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T09:30:00+05:30,101.95,102.50,101.50,102.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T09:30:00+05:30,101.95,102.50,101.50,102.00,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T09:30:00+05:30,101.95,102.50,101.50,102.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T09:45:00+05:30,102.00,102.55,101.55,102.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T09:45:00+05:30,102.00,102.55,101.55,102.05,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T09:45:00+05:30,102.00,102.55,101.55,102.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T10:00:00+05:30,102.05,102.60,101.60,102.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T10:00:00+05:30,102.05,102.60,101.60,102.10,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T10:00:00+05:30,102.05,102.60,101.60,102.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T10:15:00+05:30,102.10,102.65,101.65,102.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T10:15:00+05:30,102.10,102.65,101.65,102.15,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T10:15:00+05:30,102.10,102.65,101.65,102.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T10:30:00+05:30,102.15,102.70,101.70,102.20,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T10:30:00+05:30,102.15,102.70,101.70,102.20,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T10:30:00+05:30,102.15,102.70,101.70,102.20,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T10:45:00+05:30,102.20,102.75,101.75,102.25,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T10:45:00+05:30,102.20,102.75,101.75,102.25,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T10:45:00+05:30,102.20,102.75,101.75,102.25,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T11:00:00+05:30,102.25,102.80,101.80,102.30,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T11:00:00+05:30,102.25,102.80,101.80,102.30,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T11:00:00+05:30,102.25,102.80,101.80,102.30,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T11:15:00+05:30,102.30,102.85,101.85,102.35,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T11:15:00+05:30,102.30,102.85,101.85,102.35,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T11:15:00+05:30,102.30,102.85,101.85,102.35,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T11:30:00+05:30,102.35,102.90,101.90,102.40,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T11:30:00+05:30,102.35,102.90,101.90,102.40,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T11:30:00+05:30,102.35,102.90,101.90,102.40,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T11:45:00+05:30,102.40,102.95,101.95,102.45,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T11:45:00+05:30,102.40,102.95,101.95,102.45,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T11:45:00+05:30,102.40,102.95,101.95,102.45,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T12:00:00+05:30,102.45,103.00,102.00,102.50,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T12:00:00+05:30,102.45,103.00,102.00,102.50,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T12:00:00+05:30,102.45,103.00,102.00,102.50,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T12:15:00+05:30,102.50,103.05,102.05,102.55,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-16T12:15:00+05:30,102.50,103.05,102.05,102.55,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-16T12:15:00+05:30,102.50,103.05,102.05,102.55,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-16T12:30:00+05:30,102.55,103.10,102.10,102.60,10000,SYNTHETIC,15,unadjusted,5
